,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
28399, Urgent Opening For Designer For Andheri West Location.," Product Design, Home Care, Brochure Design",Mumbai,"Creative,Design , Creative , User Experience,FMCG, Foods, Beverage",1 - 5,1 - 5
28400," Business Support Executive- Jaipur, Chandigarh and Coimbatore"," Business Development, Sales, Bde, B2B, Region, Retail, Dealing, Revenue Collection, Follow Ups, Email Writing","Chandigarh,Coimbatore,Jaipur","Corporate Sales,Sales , Retail , Business Development,BPO, Call Centre, ITeS",1 - 5,1 - 5
28402," Senior Magento Developer,"," Magento, Magento Developer, CMS","Mumbai,MumbaiSuburbs,NaviMumbai","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
28413, Graphic Designer," Brochures, Leaflets, UX, Illustrator, Infographics, Corel Draw, Photoshop, Graphic Designing, Logo Design, Graphic Designer, Typography",Noida,"Creative,Design , Creative , User Experience,Medical, Healthcare, Hospitals",1 - 5,1 - 5
28419," Marketing, Account Management, Fresher- Female - Ghaziabad"," marketing, bdm, client servicing, client interaction, sales coordination, back office, fresher, operation, excel, mis, email, marketing executive, client onboarding","Delhi NCR,Ghaziabad","Advertising,Marketing , Advertising , MR , PR , Media Planning,Internet, Ecommerce",1 - 5,1 - 5
28427, Full Stack Developer," spring boot, java, Spring Framework, mvc, angularjs",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
28435, Unity Developer (work from Home)," C#, Unity3D, Git, Animation, Game Development","Mumbai,Noida","Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
28451, Cenveo Hiring Paginators," Communication Skills, xml",Mumbai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Publishing",1 - 5,1 - 5
28457, Sales Officer," marketing officer, marketing, bde, marketing executive, sales business development, Field Sales, business development executive, business development, sales insurance, sales marketing, Mba Fresher, sales executive","Ghaziabad,GreaterNoida,Noida","Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
28460,International Semi Voice Process – Gurgaon,"Hiring,Semi Voice,Voice Process,Data Science,IT Infrastructure Management,Global Delivery,Digital Transformation,Cyber Security,Talent Acquisition,Business Intelligence", Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO , Call Centre , ITES",1 - 5,1 - 5
