,Job_Title,Key_Skills,Location1,Functional_Area_merged,Job_Experience,Job_Salary
3, Technical Support, Technical Support,Mumbai,"Admin,Maintenance,Security,Datawarehousing,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
6, Sales- Fresher-for Leading Property Consultant," channel partners, real estate, negotiation, property, Residential Sales",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
14," Looking Facebook ,social Media Manager For our Digital Marketing Ageny"," digital marketing, seo, social media marketing, content marketing, email marketing, sem, google analytics, campaign management, facebook, media management",Gurgaon,"Online,Digital Marketing,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
21," Business Development , Corporate Sales"," lead generation, business development, corporate sales",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,IT-Software, Software Services",1 - 5,1 - 5
23, QA Executive, QA Executive,Hyderabad,"QA,Testing,Documentation,IT Software - QA & Testing,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
26," Opening For Articulate tool Developer - Articulate , Captivate)chennai", Articulate Storyline,Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,Animation, Gaming",1 - 5,1 - 5
43, Hiring For Record To Report," fixed assets, accounts payable, record to report, general accounting, general ledger","Gurgaon,Noida","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
50," International BPO , Non Voice Process , Rotational Shift , Ahmedabad"," cca, bpo, csr, international bpo, customer service, outbound process, customer care, tourism, customer support, fresher, voice process, inbound process, cse, bpo fresher, voice support, hotel, travel",Ahmedabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
78," Night Shift - Non Voice , Web Chat - BPO"," international bpo, bpo, kpo, web chat, non voice process, e mail, international call center, customer service representative, cse, interpersonal skills, ites, uk shift, customer service, e - commerce, customer care, customer support, bpo fresher","Ahmedabad,Gandhinagar,Vadodara","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
103," Project Executive,coordinator"," Project Administration, Coordination",Delhi,"Sales Support,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",1 - 5,1 - 5
121," SEO Expert, Digital Marketing Gurgaon"," digital marketing, seo specialist, advertising agency, online marketing, seo, seo expert, facebook marketing",Gurgaon,"Online,Digital Marketing,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
125," Opening For the post of Mr,territory Business Manager in An Pharma"," marketing officer, pharma sales, Marketing Representative, marketing executive, pharma marketing, sales officer, sales representative, business development executive, Fresher, trainee, sales executive","Delhi NCR,Delhi","Retail Sales,Sales , Retail , Business Development,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
169, Inbound Phone Banking Voice Process - Leading Bank - Noida," customer service, customer care, team, communication, bpo, call center, inbound, voice, backend, non voice, telecalling, cse, cro, cce, data entry, back office, voice process, domestic bpo, fresher, trainee, Telemarketing, Outbound, sales, hardware, networking",Noida,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,Fresher, Trainee, Entry Level",1 - 5,1 - 5
175, Merchandiser," Merchandising, Buyer Activities, Follow Ups, Vendor, purchase, vendor development, tracking","Thane,Mumbai,NaviMumbai","Production,Merchandising,Business Development,Export , Import , Merchandising,Textiles, Garments, Accessories",1 - 5,1 - 5
182, Corporate-Day Care Manager.," Staff Training, Day Care, Recruitment",Pune,"Teachers,Teaching , Education , Training , Counselling,Education, Teaching, Training",1 - 5,1 - 5
193, International BPO- Mahindra- Meru- TATA SKY- Paddle Point-pepperfry-hc," Bpo Voice, Voice Process, International BPO","Mumbai,MumbaiSuburbs,NaviMumbai,Thane,Vasai","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
222," Placement Officer,"," HR, Human Resource Management, Placement Coordination, recruitment executive, recruitment officer",Pune,"Other,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
224,Urgent Opening Automation Test Engineer 2-5yrs-bellandur Bangalore,Test Engineering,Bengaluru,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software , Software Services",1 - 5,1 - 5
227, Senior Java Developer- Urgently Required by Mumbai IT Company," java, mongodb, Hibernate, spring, jms",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
232, Restaurant Cashier," Cash Handling, Cashier Activities, Day Book, Cashier, Restaurant, CSAT",Delhi NCR,"Front Office,Customer Care,Hotels , Restaurants,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
236, Production Manager," Production Management, production control, production planning, Production Manager, Planning, Production Support, Organizing","Chandigarh,Panchkula","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Internet, Ecommerce",1 - 5,1 - 5
252," Hiring for Domestic, International Processes.contact the HR Asap"," fresher, icse, inbound process, outbound, international bpo, uk process, bcom, communication skills, back office, cbse, web chat, chat process, Aviation, Guest Relations, Public Speaking, PR",Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
260, Immidate Opening for Voice & Accent Trainer @ Vee Technologies," accent, auditing, soft skills, training needs, customer service, process compliance",Bengaluru,"Training,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
261," Walk- in , Hdfc Life , We are Hiring Freshers:5th till 20th Aug@ Delhi"," Sales, Fresher, Marketing","Delhi NCR,Agra,Aligarh,Bareilly,Faridabad,Ghaziabad,Meerut,Moradabad,Muzaffarpur","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
279, Great Opportunity To join top MNCs in Kolkata! Grab them While it last," PR, international bpo, chat process, Aviation, back office, web chat, Guest Relations, Public Speaking, bcom, fresher, inbound process, outbound, uk process, icse, communication skills, cbse",Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
281, Sales Engineer, Sales Engineering,Bengaluru,"Retail Sales,Sales , Retail , Business Development,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
286, Urgent Opening For Field Recruiter ," hiring, HRIS, procurement, HR, sourcing, Recruitment, staffing",Delhi NCR,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
288, Urgent Openings For Pharma Freshers," pharmaceutical, medical, Pharma, medical billing, healthcare",Pune,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
290,"Mechanical Maintenance – Btech , Diploma","mechanical operation,preventive maintenance,mechanical,engineeringbreak down maintenance,mechanical maintenance",Hyderabad,"Suguna Group was founded in the year 1984 with the inception of Suguna Foods in poultry sector by first generation entrepreneurs. Suguna is a USD 1.3 billion (INR 9,000 cr) group and leader in Indian protein food,animal farming industry. With an employee footprint of more than 8500, the group is in to poultry, dairy, processed protein food, animal nutrition, healthcare & biologicals. Group companies are Suguna Foods, Suguna Dairy, Globion, Aminovit Srilanka, Suguna Bangladesh and Kenya. Suguna Foods is the largest poultry enterprise in India and it ranks among the top 10 worldwide. The fully integrated operations cover broiler and layer farming, hatcheries, feed mills, processing plants, vaccines and exports. Suguna markets live broiler chicken, value added eggs, ready-to-eat and ready-to-cook chicken products. With the intent to provide consumers with fresh, clean and hygienic packed chicken, Suguna has set up a chain of modern retail outlets in the name of Ã¢â‚¬ËœDaily FresshÃ¢â‚¬â„¢. Suguna Foods pioneered contract farming in poultry industry, and now has presence in 21 states in India. Suguna as a brand is known for its quality products which has been well accepted by the consumers. Suguna Group always believes in energising rural India and providing nutritional security to India and is proud to associate with the mission of improving livelihood of 38,000 farmers,Other,FMCG , Foods , Beverage",1 - 5,1 - 5
296, MS SQL Developer : 0 - 2 Years (only MALE Candidates)," SSRS, SQL Server, Stored Procedures, SQL Development, MS SQL",Hyderabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
328, Opening For Fresher," BPO, any graduate, Voice Process, Voice Support",Chennai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
339," Community Manager,"," Operations, Inventory Management, Vendor Management, Bhm, Hospitality, Front Office, Guest Relations, Hospitality Management, hotel management",Bengaluru,"Front Office,Customer Care,Hotels , Restaurants,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
343, HR Recruitment Executive," Screening, Linkedin, IT Recruitment, hr recruitment, Database, recruiter, Sourcing, Interviewing, Recruitment",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,BPO, Call Centre, ITeS",1 - 5,1 - 5
346, Ecommerce Executive," BPO, Customer Support, international bpo, Voice Process, International Voice, International Voice Process",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
352, VERY Urgent Opening for IT Recruiter & Non IT Recruiter !! Apply NOW ," hr, recruitment, recruiter, hiring, head hunting, leadership, mass hiring, volume hiring, bulk hiring, team leader, senior, tl, non it, it recruitment, technical hiring, it recruiter, bfsi, engineering, manufacturing, insurance, bpo, IT",Pune,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Recruitment, Staffing",1 - 5,1 - 5
357, Supply Chain - Import Export Executive," QMS, Impex, Environmental Management System, Warehouse Management System, Export Import Logistics",Chennai,"Logistics,Purchase , Logistics , Supply Chain,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
375," Agency Manager ,, Life Insurance ,,ahmedabad , Bhopal , Vadodara"," Sales, insurance sales, agency sales, Direct sales, life advisor, channel sales, life insurance advisor, life insurance, agency","Bhopal,Ahmedabad,Vadodara","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
376, HR Trainer," Training Needs, Soft Skills, Accent, HR, Feedback, Coaching, Customer Service, Process Compliance",Bengaluru,"Teachers,Teaching , Education , Training , Counselling,BPO, Call Centre, ITeS",1 - 5,1 - 5
397, Senior Data Analyst," Reporting, Data Analysis, Business Analytics, Data Analytics, kpo","Mohali,Chandigarh","Analytics & BI,Analytics & Business Intelligence,KPO, Research, Analytics",1 - 5,1 - 5
400, Service Engineer - Bhiwadi," service engineering, maintenance, breakdown, shutdown, amc, installation, repair, troubleshooting, field service engineer, Preventive Maintenance, breakdown maintenance, Field Engineer, Electrical Engineer","Delhi NCR,Bhiwadi","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Printing, Packaging",1 - 5,1 - 5
402, Accounts Executive For 1-2 Years Experience," accounts executive, Accounting, accounts, finance",Noida,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,BPO, Call Centre, ITeS",1 - 5,1 - 5
404, Swimming Pool Technician," Monthly Reports, Maintenance, Technician Activities, Water Quality",Bengaluru,"Site Engineering,Site Engineering , Project Management,Other",1 - 5,1 - 5
411," Sr. Sales , Sales Executive"," Manager Sales, Sales Manager, assistant sales manager, MICE, Travel Agent, Senior Sales Executive, senior sales officer, Corporate Sales, Hotel Sales, Room Sales, Sales Executive",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,Travel , Hotels , Restaurants , Airlines , Railways",1 - 5,1 - 5
416, CNC Machine Operator," cnc, cnc operator, cnc maintenance, cnc programming","Ahmedabad,Gandhinagar","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Industrial Products, Heavy Machinery",1 - 5,1 - 5
420, Customer Care Executive," Customer Care, Inbound Process, Night Shift, Customer Care Executive, Customer Care Officer, BPO, Domestic BPO, International BPO",Delhi NCR,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
436," Medical Coding Job(fresher Ug,pg) Pharm,lifescience,be(biotech&biomed)"," biotechnology, microbiology, nursing, biomedical, medical coding, medical coder, pharmacy, life sciences","Chennai Vellore,Salem Erode,Madurai Trichy","Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Medical, Healthcare, Hospitals",1 - 5,1 - 5
446," IT Recruiter, Technical Recruiter"," head hunting, talent acquisition, Recruitment Executive, it recruitment, screening, technical recruitment, hiring, recruitment consultant, recruitment, sourcing, excel powerpoint, staffing",Noida,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,IT-Software, Software Services",1 - 5,1 - 5
456, Content Writer Required for a Monthly Magazine," Editing, proof reading, content writer, editor, Articles, Article Writing, Content Editor, Journalism, Mass Communication, Copywriter, Associate Editor, Sub Editor, English Writing, Research, Social Media","Delhi NCR,Ghaziabad,Noida","Content Development,Journalism , Editing , Content,Media, Entertainment, Internet",1 - 5,1 - 5
463," Back Office Executive,data Entry Operators,domestic BPO"," back office processing, BPO, part time, data entry, computer operator, backend, non voice, chat process, account, marketing, inbound process","Mumbai,Pune","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
466, Hiring For Day Shift Non Voice Sal. Up To 24K," international bpo, IT Helpdesk, freshers, customer care, international voice, call center, customer support, technical helpdesk, service desk, bpo fresher, uk, us, communication skills",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
469, Requirement in Private bank for BDE," Business Development, Sales, Bde, New Business, Business Analyst, Business Development Manager, Business Development Executive, Senior Business Analyst, Sales Manager, Banker, Private Banker, Sales Officer","Delhi NCR,Gurgaon,Noida","Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Banking, Financial Services, Broking",1 - 5,1 - 5
507, Team Leader Operations For International BPO - Kolkata," international bpo, team leading, team manager, wipro, attrition management, tl, teleperformance, shrinkage",Kolkata,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
508," WALK IN Interview at Boisar for API, Formulation and R&amp;D Department"," Validation, Analytical Method Validation, Api Production, Research, Bulk Drugs, GC, HPLC, API Manufacturing","Mumbai,Valsad,Vapi","Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
524, Design Engineer," cad, catia, creo, design engineering, mechanical design, mechanical engineer, ansys, fea, cae, finite element analysis, aeronautical engineering, aerospace engineering, stress analysis, solid works, AutoCAD",Bengaluru,"Engineering Design,Engineering Design , R&D,Oil and Gas, Energy, Power, Infrastructure",1 - 5,1 - 5
525, Drupal Developer," codeigniter, laravel, jquery, php, ajax, mysql, mvc framework, php mysql, database, symphony, Drupal Developer, drupal",Mumbai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
527," Chat Process, Chat Support Executive, Online Chat Representative"," chat process, Non Voice, Non Voice Process, BPO Fresher, Fresher, International BPO",Delhi NCR,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
528, Required Maintenance Engineer Fresher 2019 Batch only," maintenance engineering, mechanical engineering","Mumbai,Pune,Nasik","Other,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
541," Walkin For Account Executive , Assistant Team Leader - US Accounting"," accounts receivable, balance sheet, accounts payable, journal entries, intercompany reconciliation, general accounting, general ledger, quick books, bank reconciliation, intercompany accounts, accounts finalisation, ledger posting, sage, ledger scrutiny",Ahmedabad,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,KPO, Research, Analytics",1 - 5,1 - 5
571, Hiring For Technical Support Officer," dns, networking, windows troubleshooting, customer support, technical support, active directory, desktop troubleshooting, international voice process, windows server, cloud computing, exchange server, ccna, dhcp","Pune,Gurgaon","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
578, BPO - Hiring For Australian Process Fix Shifts &amp; OFF - Salary 28K," customer service, voice process, australian, calling, communication skills, customer support, technical process, support, executive, customer representative, cse, csa, cso, cca, tsr, cce, tse, tso, troubleshooting, desktop, remote support, it helpdesk",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
591," Urgent ,, Equity Dealer ,, Commodity Dealer ,, Mumbai"," equity trading, commodity trading, relationship management, hni client handling, hni sales, equity broking, Commodity Dealer, Stock Market, Stock Broking, NISM, share trading","Mumbai,Pune,Jalgaon","Financial Services,Stock Broking,Financial Services , Banking , Investments , Insurance,Banking, Financial Services, Broking",1 - 5,1 - 5
596," Receptionist, Front Office Executive, Telecaller"," Receptionist, front office executive, Front Office, Receptionist Activities, front desk executive, Telecalling, telemarketing",Hyderabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
599, Executive - Export & Import," Cargo, Brc, Costing, MIS, DGFT, Freight, EPCG",Mumbai,"Documentation,Shipping,Export , Import , Merchandising,Recruitment, Staffing",1 - 5,1 - 5
613, Graduate Freshers Walkin - 1st July - 5th July&#39," relationship manager, Client Onboarding, Equity Advisory, telesales, dealer, onboarding",Mumbai,"Sales Support,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
624, Senior Graphic Designer," Mobile Applications, Infographics, Social Media, Graphic Designing",Pune,"Creative,Design , Creative , User Experience,IT-Software, Software Services",1 - 5,1 - 5
635," Urgently Hiring , Associate, Sr. Exe- Core Accounting , Day Shift"," accounts receivable, accounts payable, journal entries, general accounting, accounting, general ledger, banking, bank reconciliation, invoicing, book keeping, International Accounting, taxation, finance, financial statements",Gurgaon,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,BPO, Call Centre, ITeS",1 - 5,1 - 5
645, Relationship Manager - Mse_liabilities ( Kodambakkam )," Sales, Casa, Financial Services, Relationship Management, Insurance, Finance, Liabilities, Fixed Deposits, Banking, Business Development",Chennai,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
649, BPO Jobs For Voice Process with Good Salary Call HR Sonal," Inbound Process, voice, bpo, international bpo, customer care, Calling, Outbound Process, UK Shift, Customer Care Associate, voice process, Bpo Voice, us shift, Call Center, International Voice Process",Pune,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
652," Easy Process in International BPO - No Target, No Sales, No Pressure"," bpo, call center executive, tcs, sutherland, call center, kpo, sales, fresher, voice process, inbound process, international call center, non voice, customer care executive","Mumbai,MumbaiSuburbs","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
656," Software Engineer(backend,.net, MVC, Webapi)"," MVC, ASP.Net MVC",Hyderabad,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Software, Software Services",1 - 5,1 - 5
657, Interior Designer," Sketchup, Design Development, REVIT, Concept Design, Photoshop, autocad, Interior Designing",Noida,"Interior Design,Architecture , Interior Design,Architecture, Interior Design",1 - 5,1 - 5
659, Assistant Manager - Event Operations__mice Company," event production, Client Servicing, event operation, mice, events, conferences, event coordinator",Gurgaon,"Advertising,Marketing , Advertising , MR , PR , Media Planning,Advertising, PR, MR, Event Management",1 - 5,1 - 5
675, HR Recruiter- Bangalore," Social Networking, Industry Mapping, Real Estate, HR, Recruitment",Bengaluru,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Real Estate, Property",1 - 5,1 - 5
676," MIS Executive,"," Excel, power point, ms excel, ms word, ms powerpoint, VLOOKUP, Content Filtering, SUMIF, countif","GreaterNoida,Noida,Ghaziabad","Admin,Maintenance,Security,Datawarehousing,IT Software - Systems , EDP , MIS,Consumer Electronics, Appliances, Durables",1 - 5,1 - 5
684, Opening For Relationship Executive a Vibgyor High- Yelahanka," educational marketing, admissions, enrollment, admission, student counselling",Bengaluru,"Retail Sales,Sales , Retail , Business Development,Education, Teaching, Training",1 - 5,1 - 5
685, Hiring For Life Insurance- Bancassurance," direct marketing executive, Bancassurance, direct marketing, general insurance sales, insurance broking, sales marketing, life insurance, broking, securities, agency manager, branch banking, direct sales",Pune,"Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
686, Hiring For Banking Jobs - CASA Sales_hyderabad CTC upto 4 LPA," Saving Account, Sales, Casa, marketing executive, Sales Executive, Current Account, Sales Officer","Bengaluru,Chennai,Hyderabad","Retail Sales,Sales , Retail , Business Development,Banking, Financial Services, Broking",1 - 5,1 - 5
699," Walk-in Freshers B.tech , B.E , EEE , ECE ,EC , CS , EC"," MCSA, bca, software, networking, mca, CCNA, telecommunication, system administrator, network administrator, mcse, diploma, electronics engineering, ec, hardware, freshers, network engineer, dns, windows, College, system admin, n+","Ghaziabad,Meerut,Noida","Admin,Maintenance,Security,Datawarehousing,IT Software - Network Administration , Security,IT-Hardware & Networking",1 - 5,1 - 5
723, Sales Engineer - New Delhi," inside sales, cold calling, lead generation, elevators, Business development, sales",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,Industrial Products, Heavy Machinery",1 - 5,1 - 5
735," Data Entry Operator,"," data entry operation, organization skills, us healthcare, Data Entry, ms office, typing speed",Ahmedabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
736, Hiring For Female Football Coach," Coaching, Football",MumbaiSuburbs,"Life skills , ECA Teachers,Teaching , Education , Training , Counselling,Wellness , Fitness , Sports, Beauty",1 - 5,1 - 5
744," Python,django Developer"," front end, python, django, backend, mysql, javascript, D3.Js",Bengaluru,"Programming & Design,IT Software - Other,IT-Software, Software Services",1 - 5,1 - 5
758, Key Account Manager - Services," Field Sales, Key Account Management, Concept Selling, Space Selling, Ad Space Selling",Pune,"Channel Sales,Sales , Retail , Business Development,Advertising, PR, MR, Event Management",1 - 5,1 - 5
766," Executive Sales & Marketing , Pune , Aurangabad, Kolhapur , Sangli"," Sales Executive Activities, Marketing, Sheet Metal, press shop, stamping, press tools, Laser Cutting, Sales, Fabrication","Pune,Kolhapur,Aurangabad","Retail Sales,Sales , Retail , Business Development,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
769, Freshers! for Udyog Vihar & Sector 44 Gurgaon Huda City Center," bpo, voice process, outbound, lead generation, sales, customer service, night shift, fresher, back office, backend, non voice, inbound process, calling, Aegis","Delhi NCR,Gurgaon","Other,ITES , BPO , KPO , LPO , Customer Service , Operations,Fresher, Trainee, Entry Level",1 - 5,1 - 5
782, Channel Sales Manager, Channel Sales Management,"Ahmedabad,Surat","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
794, Openings for Medical Process- Upto 34k in hand Excellent Communication," international voice process, night shift, medical billing, spoken english, international bpo, customer care executive, blended process, backend, international call center, ar calling, accounts receivable, medical transcription","Mumbai,MumbaiSuburbs","Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
811," IP Telephony Network (L2 IPT) , Innova Solutions , Bangalore"," voice gateways, operations, CUCM, voip, ip telephony, call manager, telepresence, networking, ipt, Cisco Unified Communications",Chennai,"Programming & Design,IT Software - Application Programming , Maintenance,IT-Hardware & Networking",1 - 5,1 - 5
816, Sales Manager," Real Estate Sales, property sales, Sales, Sales Manager, assistant sales manager, Bdm, business development manager, marketing manager",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
848," Client Service Associate - Salary upto 50k,p.m."," cce, inbound, customer service, call center, sales, executive, advisor, fresher, voice process, collections, outbound, telecalling, non voice, email, communication skills, bpo, upselling, ites, client servicing, us process, chat, us shift, uk process, uk shift",Gurgaon,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
852, Associate Auditor," accounting functions, auditing, cma, ca, commerce, ipcc",Delhi NCR,"Accounts,Accounts , Finance , Tax , Company Secretary , Audit,Accounting, Finance",1 - 5,1 - 5
859, Store Incharge Retail," fifo, customer service, shrinkage control","Mumbai,NaviMumbai","Logistics,Purchase , Logistics , Supply Chain,Retail, Wholesale",1 - 5,1 - 5
889," Day Shift Jobs,non Voice..."," customer service, Non Voice",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
892, Associate Technical Support Engineer( L1)," DNS, Networking Protocols, DHCP, WSUS Server, IP Addressing, VPN, UDP, TCP, Antivirus, Configuring",Hyderabad,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
914," Graphic Designer , Senior Graphic Designer (walk - In on 22nd June 19)"," Design, Project Handling, Artwork, Key Skills, Illustrator, Photoshop, Graphic Designing, Client Interaction, Quality Assurance, Indesign",Bengaluru,"Creative,Design , Creative , User Experience,Other",1 - 5,1 - 5
915, Admin - Executive(post Sales)," Communication Skills, Sales Administration, Admin Executive",Hyderabad,"After Sales Service,Sales , Retail , Business Development,Real Estate, Property",1 - 5,1 - 5
916, Assistant Facility Manager- Gurgaon, Facility Management,Gurgaon,"Site Engineering,Site Engineering , Project Management,Real Estate, Property",1 - 5,1 - 5
917, Utility Maintenance Engineer - Mechanical," Maintenance Engineering, Utility Maintenance, Compressor",Pune,"Production,Manufacturing,Maintenance,Production , Manufacturing , Maintenance,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
926," Executive : Gem Portal,govt. Tender"," Gem, Tendering",Delhi NCR,"Retail Sales,Sales , Retail , Business Development,Heat Ventilation, Air Conditioning",1 - 5,1 - 5
927, Executive - Sales ( B2C B2B & Project Sales- Paints) Across Rajasthan," building materials, COLLECTION, lifestyle products, key account mgmt, home decor, business development, b2c sales, construction materials, lifestyle, NEW CLIENT ACQUISITION, PROJECT SALES, SALES","Ahmedabad,Rajkot,Surat","Corporate Sales,Sales , Retail , Business Development,Construction, Engineering, Cement, Metals",1 - 5,1 - 5
933, Senior Business Manager- Life Insurance," team development, sales manager, business management, Agency Manager, sales development manager, life insurance","Bhubaneshwar,Cuttack,Durgapur,Ghaziabad,Guwahati,Jaipur,Ahmedabad,Ajmer,Amritsar","Retail Sales,Sales , Retail , Business Development,Insurance",1 - 5,1 - 5
943, Hiring for Inteernational Non-voice Process(e-mail & Chat)," chat, international, Email Support, Non Voice, bpo, international call center, bpo fresher, international bpo",Bengaluru,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
947, Urgent Requirement -medical Representative Required @ Hyderabad," Business Development, sales, Pharmaceutical Sales",Hyderabad,"Medical Professional,Medical , Healthcare , R&D , Pharmaceuticals , Biotechnology,Pharma, Biotech, Clinical Research",1 - 5,1 - 5
953," Required Data Entry Operator,computer Operator"," Data Entry Operation, Computer Operating, Data Management, data analysis, Data Entry, computer operator, back office, non voice, backend, kpo",Pune,"Other,ITES , BPO , KPO , LPO , Customer Service , Operations,BPO, Call Centre, ITeS",1 - 5,1 - 5
955, Company Secretary For Reputed Company," Company Secretary, Compliance, Secretarial Activities",Kolkata,"Senior Management,Accounts , Finance , Tax , Company Secretary , Audit,Food Processing",1 - 5,1 - 5
962, Executive- Hr(recruitment) for HR Consulting Dealing in Manufacturing," recruitment, screening, sourcing, hr consulting, linkedin, communication skills",Faridabad,"HR, Recruitment , IR,HR , Recruitment , Administration , IR,Automobile, Auto Anciliary, Auto Components",1 - 5,1 - 5
987, Urgent Opening For Telecaller," Communication Skills, voice process, inbound, english, hindi, outbound process",Noida,"Voice,ITES , BPO , KPO , LPO , Customer Service , Operations,IT-Software, Software Services",1 - 5,1 - 5
